"","CBSA.Code","YEAR","AGE_CATEGORY","fatality_count","rate"
"187",10420,2019,4,1,0.0196174595389897
"188",10420,2019,5,2,0.0392341494036409
"189",10420,2020,2,1,0.0178100733775023
"190",10420,2021,4,1,0.0162776312790963
"191",10420,2021,5,4,0.0651094652885163
"192",10420,2022,2,1,0.014993627708224
"193",10420,2022,4,1,0.0149931781039627
"194",10420,2022,5,1,0.0149929533119434
"195",10460,2010,2,1,0.318877551020408
"196",10460,2010,6,10,3.18775900541919
"197",10460,2011,5,1,0.116455106556422
"198",10460,2011,6,13,1.51374010246856
"199",10460,2012,4,1,0.0717669011052103
"200",10460,2012,6,15,1.07642626480086
"201",10460,2013,2,1,0.0518833661927986
"202",10460,2013,6,7,0.363164721141375
"203",10460,2014,5,3,0.123203285420945
"204",10460,2014,6,10,0.410660753151821
"205",10460,2015,5,1,0.0337917750819451
"206",10460,2015,6,9,0.304115699128202
"207",10460,2016,5,1,0.0286049372121628
"208",10460,2016,6,2,0.05720823798627
"209",10460,2017,6,6,0.149009089554463
"210",10460,2018,4,1,0.022025461433417
"211",10460,2018,6,7,0.154174834262053
"212",10460,2019,6,11,0.218041982992725
"213",10460,2020,6,6,0.107878744291416
"214",10460,2021,3,1,0.0164235974247799
"215",10460,2021,4,2,0.032846655389315
"216",10460,2021,6,12,0.197076695680736
"217",10460,2022,4,2,0.0302448319143466
"218",10460,2022,5,1,0.0151221872731672
"219",10460,2022,6,8,0.120975668768619
"220",10480,2010,6,14,9.22874093605801
"221",10480,2011,5,1,0.166195778627223
"222",10480,2011,6,7,0.387061100359414
"223",10480,2012,4,1,0.0875120329045244
"224",10480,2012,6,4,0.174909265818357
"225",10480,2013,6,3,0.0892325996430696
"226",10480,2014,6,6,0.0909959506801947
"227",10480,2015,6,7,0.0861899133175729
"228",10480,2016,6,9,0.138867458725505
"229",10480,2017,6,6,0.0529862147531284
"230",10480,2018,6,5,0.0581138566679839
"231",10480,2019,6,8,0.0832067896740374
"232",10480,2020,6,6,0.0564551792922402
"233",10480,2021,6,9,0.0514282775526997
"234",10480,2022,6,6,0.0314141059807222
"235",10480,2010,4,1,1.96463654223969
"236",10480,2021,4,1,0.0171417796595643
"237",10480,2022,4,1,0.0157062306617035
"238",10480,2022,5,2,0.0157057373058378
"239",10480,2014,4,1,0.0454896965837238
"240",10480,2015,4,1,0.0369330772639976
"241",10500,2010,6,24,5.88668138337013
"242",10500,2011,6,18,0.921895006402049
"243",10500,2012,6,9,0.251818690542809
"244",10500,2013,2,1,0.0582106059724082
"245",10500,2013,6,18,0.260412899118936
"246",10500,2014,5,1,0.0447567470796223
"247",10500,2014,6,25,0.27852980826008
"248",10500,2015,1,1,0.036411302068162
"249",10500,2015,6,26,0.235808414732584
"250",10500,2016,2,3,0.0456128080765079
"251",10500,2016,3,1,0.030480370641307
"252",10500,2016,6,23,0.174679122047543
"253",10500,2017,1,1,0.0262246931710899
"254",10500,2017,4,2,0.0261978989285059
"255",10500,2017,6,25,0.163471346742343
"256",10500,2018,3,1,0.0230404128841989
"257",10500,2018,6,17,0.0976983420016666
"258",10500,2019,3,2,0.0206083587503091
"259",10500,2019,5,1,0.0206385569520979
"260",10500,2019,6,27,0.13902763045426
"261",10500,2020,6,27,0.125793782059943
"262",10500,2020,7,1,0.0186730902096988
"263",10500,2021,4,2,0.0340425531914894
"264",10500,2021,5,3,0.0254928619986404
"265",10500,2021,6,36,0.152933779673401
"266",10500,2022,5,1,0.0156052496059674
"267",10500,2022,6,44,0.171397630817294
"268",10500,2010,4,2,2.01612903225806
"269",10500,2010,5,1,1.00704934541793
"270",10500,2011,3,2,0.152648450618226
"271",10500,2011,4,1,0.15389350569406
"272",10500,2012,4,2,0.16826518593303
"273",10500,2020,3,1,0.018645584725537
"274",10500,2013,1,1,0.0577233895174325
"275",10500,2018,4,1,0.0229636943991549
"276",10500,2022,3,1,0.0155722005076537
"277",10500,2011,5,2,0.302755071147442
"278",10500,2014,4,1,0.0444207533759773
"279",10500,2017,5,1,0.0261028452101279
"280",10500,2020,5,1,0.0186070744096906
"281",10540,2010,1,1,0.253678335870117
"282",10540,2010,6,10,2.53613999492772
"283",10540,2011,6,10,1.06450926123057
"284",10540,2012,5,1,0.0681106116332925
"285",10540,2012,6,10,0.681059728938228
"286",10540,2013,2,1,0.04995004995005
"287",10540,2013,4,1,0.0499475550671795
"288",10540,2013,6,14,0.699230846069324
"289",10540,2014,1,1,0.0398899038653317
"290",10540,2014,5,1,0.0398883127243718
"291",10540,2014,6,14,0.558414103944797
"292",10540,2015,5,1,0.0329750049462507
"293",10540,2015,6,25,0.824347940778844
"294",10540,2016,6,18,0.503891159509546
"295",10540,2017,2,1,0.0243724104313917
"296",10540,2017,5,1,0.0243718164314786
"297",10540,2017,6,14,0.341197114447261
"298",10540,2018,5,1,0.0217009179488292
"299",10540,2018,6,25,0.54251117573022
"300",10540,2019,2,1,0.0195484312383931
"301",10540,2019,4,1,0.0195480491046994
"302",10540,2019,5,3,0.0586430009578357
"303",10540,2019,6,19,0.371398412760468
"304",10540,2020,1,2,0.0355006478868239
"305",10540,2020,4,3,0.0532500266250133
"306",10540,2020,5,2,0.0354993876355633
"307",10540,2020,6,22,0.390486332978346
"308",10540,2021,5,1,0.0162274438530443
"309",10540,2021,6,15,0.243407707910751
"310",10540,2022,5,1,0.014951258895999
"311",10540,2022,6,26,0.388726919339164
"312",10580,2010,1,2,0.310752019888129
"313",10580,2010,6,52,3.18920576510273
"314",10580,2011,5,2,0.115333602445072
"315",10580,2011,6,54,1.24109400137899
"316",10580,2012,6,49,0.697866522345971
"317",10580,2013,2,1,0.0518054188468114
"318",10580,2013,6,42,0.433123646488605
"319",10580,2014,3,1,0.041023957991467
"320",10580,2014,6,52,0.425392670157068
"321",10580,2015,1,1,0.0337655321447866
"322",10580,2015,4,1,0.0337643920721207
"323",10580,2015,5,2,0.0337103271587251
"324",10580,2015,6,56,0.377193277876941
