"","year","AGE_CATEGORY","CBSA.Code","CBSA.Title","Metropolitan.Micropolitan.Statistical.Area","rate_cbsa_age","rate_cbsa"
"97",2017,3,41860,"San Francisco-Oakland-Fremont, CA","Metropolitan Statistical Area",0.00894562402436788,0.0273627165705011
"98",2017,4,41860,"San Francisco-Oakland-Fremont, CA","Metropolitan Statistical Area",0.00298186578323923,0.0273627165705011
"99",2017,5,41860,"San Francisco-Oakland-Fremont, CA","Metropolitan Statistical Area",0.00828019224240618,0.0273627165705011
"100",2017,5,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.0168219582628524,0.0479815314723406
"101",2017,1,23420,"Fresno, CA","Metropolitan Statistical Area",0.00324034619858786,0.038787378672227
"102",2017,2,23420,"Fresno, CA","Metropolitan Statistical Area",0.00648067139755679,0.038787378672227
"103",2017,3,23420,"Fresno, CA","Metropolitan Statistical Area",0.00563266041816871,0.038787378672227
"104",2017,4,23420,"Fresno, CA","Metropolitan Statistical Area",0.00563262869148403,0.038787378672227
"105",2017,5,23420,"Fresno, CA","Metropolitan Statistical Area",0.0194418251985496,0.038787378672227
"106",2017,1,21700,"Eureka-Arcata, CA","Micropolitan Statistical Area",0.0951444610066284,0.158566558312852
"107",2017,4,21700,"Eureka-Arcata, CA","Micropolitan Statistical Area",0.0634236062662523,0.158566558312852
"108",2017,2,20940,"El Centro, CA","Metropolitan Statistical Area",0.0348219726647515,0.0522320495856257
"109",2017,4,20940,"El Centro, CA","Metropolitan Statistical Area",0.0174103800685969,0.0522320495856257
"110",2017,1,12540,"Bakersfield-Delano, CA","Metropolitan Statistical Area",0.00350915362723665,0.0561460639854582
"111",2017,2,12540,"Bakersfield-Delano, CA","Metropolitan Statistical Area",0.0175457065656034,0.0561460639854582
"112",2017,3,12540,"Bakersfield-Delano, CA","Metropolitan Statistical Area",0.00350912899909114,0.0561460639854582
"113",2017,4,12540,"Bakersfield-Delano, CA","Metropolitan Statistical Area",0.00701823337029603,0.0561460639854582
"114",2017,5,12540,"Bakersfield-Delano, CA","Metropolitan Statistical Area",0.0245637305990392,0.0561460639854582
"115",2017,3,25260,"Hanford-Corcoran, CA","Metropolitan Statistical Area",0.0220128555076164,0.0440247419049506
"116",2017,5,25260,"Hanford-Corcoran, CA","Metropolitan Statistical Area",0.0220118864186661,0.0440247419049506
"117",2017,3,17340,"Clearlake, CA","Micropolitan Statistical Area",0.0712707576081534,0.0712707576081534
"118",2017,1,31080,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area",0.00213801105718233,0.0244775592735256
