"","YEAR","cbsa_code","cbsa_name","fatality_count","value","estimate","population","fatality_rate"
"22",2014,"14460","Boston-Cambridge-Newton, MA-NH",216,NA,4732161,4732161,4.56451080172462
"23",2014,"16980","Chicago-Naperville-Elgin, IL-IN",495,NA,9553810,9553810,5.18117902700598
"24",2014,"31080","Los Angeles-Long Beach-Anaheim, CA",812,NA,13262220,13262220,6.12265518141005
"25",2014,"35620","New York-Newark-Jersey City, NY-NJ",839,NA,20092883,20092883,4.17560785079971
"26",2014,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",431,NA,6051170,6051170,7.12258951574654
"27",2014,"38300","Pittsburgh, PA",200,NA,2355968,2355968,8.48907964794089
"28",2014,"41860","San Francisco-Oakland-Fremont, CA",195,NA,4594060,4594060,4.24461152009334
"29",2014,"42660","Seattle-Tacoma-Bellevue, WA",164,NA,3671478,3671478,4.46686593246643
"30",2014,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",311,NA,6032744,6032744,5.15519969022388
"31",2015,"12580","Baltimore-Columbia-Towson, MD",215,NA,2797407,2797407,7.68568892549422
"32",2015,"14460","Boston-Cambridge-Newton, MA-NH",218,NA,4774321,4774321,4.56609432000907
"33",2015,"16980","Chicago-Naperville-Elgin, IL-IN",529,NA,9550108,9550108,5.53920437339557
"34",2015,"31080","Los Angeles-Long Beach-Anaheim, CA",834,NA,13340068,13340068,6.25184219450755
"35",2015,"35620","New York-Newark-Jersey City, NY-NJ",927,NA,20182305,20182305,4.59313244944024
"36",2015,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",435,NA,6069875,6069875,7.16653967338701
"37",2015,"38300","Pittsburgh, PA",199,NA,2353045,2353045,8.45712682927866
"38",2015,"41860","San Francisco-Oakland-Fremont, CA",245,NA,4656132,4656132,5.26187831444641
"39",2015,"42660","Seattle-Tacoma-Bellevue, WA",228,NA,3733580,3733580,6.10673937614836
"40",2015,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",338,NA,6098283,6098283,5.54254369631583
"41",2016,"12580","Baltimore-Columbia-Towson, MD",228,NA,2798886,2798886,8.14609812618306
"42",2016,"14460","Boston-Cambridge-Newton, MA-NH",244,NA,4794447,4794447,5.08922092579186
"43",2016,"16980","Chicago-Naperville-Elgin, IL-IN",563,NA,9512968,9512968,5.91823708436736
"44",2016,"31080","Los Angeles-Long Beach-Anaheim, CA",1041,NA,13310447,13310447,7.82092442124596
"45",2016,"35620","New York-Newark-Jersey City, NY-NJ",855,NA,20153634,20153634,4.24241107087685
