cbsa_code,cbsa_name,fatality_count,pop_under18,rate
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",18,462269,3.8938367054680283
28940,"Knoxville, TN",19,540269,3.5167666477254853
29020,"Kokomo, IN",6,36939,16.242995208316415
29100,"La Crosse-Onalaska, WI-MN",3,47437,6.324177329932331
29180,"Lafayette, LA",3,116963,2.5649136906543095
29200,"Lafayette-West Lafayette, IN",5,155548,3.214441844318153
29340,"Lake Charles, LA",12,252699,4.7487326819655005
29420,"Lake Havasu City-Kingman, AZ",16,178501,8.963535218290094
29460,"Lakeland-Winter Haven, FL",36,807364,4.458955316313336
29540,"Lancaster, PA",21,641013,3.2760646039939907
29620,"Lansing-East Lansing, MI",16,195854,8.169350638741102
29700,"Laredo, TX",11,349986,3.14298286217163
29740,"Las Cruces, NM",8,262114,3.0521070984380843
29820,"Las Vegas-Henderson-North Las Vegas, NV",52,2588160,2.009149357072206
29940,"Lawrence, KS",3,65722,4.564681537384741
30020,"Lawton, OK",6,116024,5.171343859891057
30140,"Lebanon, PA",6,64603,9.287494388805474
30340,"Lewiston-Auburn, ME",1,23417,4.2704018448135965
30460,"Lexington-Fayette, KY",14,266883,5.245744389863723
30500,"Lexington Park, MD",8,124047,6.449168460341645
30620,"Lima, OH",8,93845,8.524694975757898
30700,"Lincoln, NE",10,289652,3.452418764586469
30780,"Little Rock-North Little Rock-Conway, AR",27,507619,5.318949842302986
30980,"Longview, TX",18,178334,10.093420211513228
31020,"Longview-Kelso, WA",2,50263,3.9790700913196586
31080,"Los Angeles-Long Beach-Anaheim, CA",198,13351970,1.482927238452453
31140,"Louisville/Jefferson County, KY-IN",32,878038,3.644489190672841
31180,"Lubbock, TX",13,295189,4.40395814207169
31340,"Lynchburg, VA",4,62171,6.433867880523074
31420,"Macon-Bibb County, GA",10,188007,5.318950890126432
31540,"Madison, WI",12,554803,2.1629299048491086
31700,"Manchester-Nashua, NH",4,167220,2.392058366224136
31740,"Manhattan, KS",4,35402,11.298796678153776
31860,"Mankato, MN",2,13595,14.71129091577786
